transition,trans_no,avg_time,SE_time
armature->no_armature,1,33.45413039350678,0.3974340918959331
armature->no_armature,2,30.84165977249687,0.40460044167912634
armature->no_armature,3,29.039361165180804,0.3356357096092008
armature->no_armature,4,27.684044428043478,0.3229626653691557
armature->no_armature,5,26.49685054920019,0.32443996362742933
armature->no_armature,6,25.139502956408666,0.3602507972411075
armature->no_armature,7,23.923837995206096,0.3697828519795316
armature->no_armature,8,22.686995810594315,0.3819838478567225
armature->no_armature,9,21.614440335399614,0.4041376430873037
armature->no_armature,10,20.496934228695093,0.4181568680829142
armature->no_armature,11,19.35687452333123,0.43632291906593834
armature->no_armature,12,18.33016704963576,0.44991496264025627
armature->no_armature,13,17.17410175774721,0.44560544150073184
armature->no_armature,14,16.200924027930558,0.4303827550975032
armature->no_armature,15,15.346630454707695,0.4193636246347174
armature->no_armature,16,14.479279286142212,0.4064966958730788
armature->no_armature,17,13.700825717184419,0.3949609302619696
armature->no_armature,18,13.032114296029496,0.37820392888549464
armature->no_armature,19,12.403448496808112,0.34697579893327696
armature->no_armature,20,11.770523939143855,0.33368672978419084
armature->no_armature,21,11.100222070871542,0.30273719028298907
armature->no_armature,22,10.570687313404045,0.28145354171040626
armature->no_armature,23,10.089820731897888,0.25813884569358503
armature->no_armature,24,9.627457420552643,0.2477373041684822
armature->no_armature,25,9.112740417788245,0.2207054935222853
armature->no_armature,26,8.742132717741924,0.21191985839633698
armature->no_armature,27,8.377868337302527,0.19991727246741905
armature->no_armature,28,8.047801328321086,0.19233630359226625
armature->no_armature,29,7.700469780591355,0.18075933906003835
armature->no_armature,30,7.366597299811442,0.1698743678029794
armature->no_armature,31,7.05369932973355,0.1644024333297772
armature->no_armature,32,6.804117424596666,0.1611564046246776
armature->no_armature,33,6.568900987181853,0.15723449980172174
armature->no_armature,34,6.303339555199362,0.15426090734114403
armature->no_armature,35,6.066780677168507,0.14766727221945436
armature->no_armature,36,5.833198706795056,0.14480145987286666
armature->no_armature,37,5.630300411484148,0.1366894678754926
armature->no_armature,38,5.397885484739249,0.1354109369961826
armature->no_armature,39,5.221621934593535,0.1349727130961868
armature->no_armature,40,5.00549991473284,0.12574014695978442
armature->no_armature,41,4.824664736754404,0.12409252815548201
armature->no_armature,42,4.660780514789049,0.12152438879105755
armature->no_armature,43,4.506742802246363,0.12062921489278466
armature->no_armature,44,4.3451497554628045,0.11726786067220471
armature->no_armature,45,4.164306495036514,0.11643682686237522
armature->no_armature,46,4.003490778065129,0.11416345042669218
armature->no_armature,47,3.8300461667929357,0.10811213242486016
armature->no_armature,48,3.667174994061087,0.10037843328069537
armature->no_armature,49,3.508809103893176,0.09961220915712968
armature->no_armature,50,3.3808186236509177,0.09915089394005921
armature->no_armature,51,3.2359776829162965,0.09942632622240855
armature->no_armature,52,3.113509809365989,0.09715366913059754
armature->no_armature,53,2.98584508129114,0.0937026367731669
armature->no_armature,54,2.860494250114165,0.09257184013825806
armature->no_armature,55,2.6988421389975237,0.08778391118058201
armature->no_armature,56,2.565421891920016,0.08585992407420845
armature->no_armature,57,2.4674745947411596,0.08439424741975794
armature->no_armature,58,2.3114805820042137,0.08174036623006112
armature->no_armature,59,2.194348379877051,0.0790630809630498
armature->no_armature,60,2.1096124275085475,0.07864313239120943
armature->no_armature,61,1.9881076678116134,0.07838538168919391
armature->no_armature,62,1.8795263156279123,0.07828272724147577
armature->no_armature,63,1.7749293363107235,0.07554040085270015
armature->no_armature,64,1.6712636817086377,0.073666263385909
armature->no_armature,65,1.5821335820092464,0.07085567116330654
armature->no_armature,66,1.4768479515044375,0.06506684258854643
armature->no_armature,67,1.3890083511822267,0.0628413853910052
armature->no_armature,68,1.297430487736496,0.05959232341692877
armature->no_armature,69,1.2214053417869524,0.057751243924788975
