transition,trans_no,avg_time,SE_time
megaherbivore->other,1,0.12566105248811282,0.009430824668137397
megaherbivore->other,2,0.24381751418601055,0.01433096867170962
megaherbivore->other,3,0.40299120478774453,0.01981365205288036
megaherbivore->other,4,0.6323921470702416,0.032869564857838665
megaherbivore->other,5,0.9384800385844124,0.04863248993641134
megaherbivore->other,6,1.3363991068171595,0.06325533078713484
megaherbivore->other,7,1.6974622982351364,0.06851314801901351
megaherbivore->other,8,2.0546371328802198,0.06950015645103566
megaherbivore->other,9,2.5361710055541056,0.10577646164067518
megaherbivore->other,10,3.4036924055501117,0.18586287133488305
megaherbivore->other,11,4.625831380431114,0.24395637983674348
megaherbivore->other,12,5.62158586385867,0.280415700671274
megaherbivore->other,13,6.804790325905696,0.2986619374070837
megaherbivore->other,14,8.194741704785534,0.3350709522667391
megaherbivore->other,15,10.34685861879137,0.4875154910988012
megaherbivore->other,16,12.744302697847456,0.7842472743352293
megaherbivore->other,17,14.897449743293471,0.9827412368853604
megaherbivore->other,18,18.105190228889644,1.3791784518852077
megaherbivore->other,19,24.745174503808578,2.8462635779618335
megaherbivore->other,20,29.726776027899305,3.006164073760097
megaherbivore->other,21,30.67485931429368,2.11909022269532
megaherbivore->other,22,40.152795195886505,3.5830728363369486
megaherbivore->other,23,51.35592819791401,4.773146362338506
megaherbivore->other,24,64.87501885725953,6.2910774916083945
other->megaherbivore,1,0.04327674632082733,0.0033724881135287336
other->megaherbivore,2,0.10212275451344595,0.007194810061471258
other->megaherbivore,3,0.18790063938426613,0.009351369837641616
other->megaherbivore,4,0.28229148972287166,0.012288115038763
other->megaherbivore,5,0.3851417906205086,0.014064474666929592
other->megaherbivore,6,0.48703092601710324,0.020559297336896997
other->megaherbivore,7,0.6012561693727938,0.025243313154266395
other->megaherbivore,8,0.7635297581275179,0.030786183140595138
other->megaherbivore,9,0.9259534911201643,0.036882194669858544
other->megaherbivore,10,1.1324052194440393,0.044000689899136275
other->megaherbivore,11,1.3708082250823757,0.04792100137196628
other->megaherbivore,12,1.6109039752608931,0.050924101828369324
other->megaherbivore,13,1.9188030783334205,0.061846911656911904
other->megaherbivore,14,2.203683932061775,0.068865187925477
other->megaherbivore,15,2.50080846030574,0.07252847335058679
other->megaherbivore,16,2.813043005053255,0.08288631488633452
other->megaherbivore,17,3.1938681511817233,0.094235852933917
other->megaherbivore,18,3.5970722937494455,0.10513921487632745
other->megaherbivore,19,4.051190399846516,0.11383714124303135
other->megaherbivore,20,4.472067403899527,0.11557190917941416
other->megaherbivore,21,5.038350482772851,0.136046537994606
other->megaherbivore,22,5.814746883623126,0.1524192785503628
other->megaherbivore,23,6.575465277775971,0.17495687558218914
other->megaherbivore,24,7.594187748846266,0.23108721413536754
other->megaherbivore,25,8.774477658770467,0.2536007686140079
other->megaherbivore,26,10.359483483650502,0.3355686341161671
other->megaherbivore,27,11.958499629289367,0.38100350582273296
other->megaherbivore,28,13.613153022891783,0.4074667669728134
other->megaherbivore,29,15.523450731973853,0.4222411728402002
other->megaherbivore,30,17.58555424506374,0.453096977953855
other->megaherbivore,31,19.359096697322393,0.49024239757286986
other->megaherbivore,32,22.129571566473004,0.6740646287369787
other->megaherbivore,33,24.741330443961722,0.9046826447077584
other->megaherbivore,34,29.484246271681457,1.1998735898140558
other->megaherbivore,35,35.60043463872881,1.6275611036421633
other->megaherbivore,36,42.552998892900504,2.069802868316728
other->megaherbivore,37,49.461291408533405,1.8676974056551003
other->megaherbivore,38,55.460938602825415,2.21519961931765
other->megaherbivore,39,64.14226909513746,2.889082299944529
other->megaherbivore,40,77.06865041651916,4.027848337510768
