"","time","transition","N_sim","trans_no","edge.length"
"123",5.06229836604155,"no_armature->armature",43,1,10
"124",5.06502424432043,"no_armature->armature",81,1,10
"125",5.0752226677209,"armature->no_armature",9,2,10
"126",5.09475008737966,"no_armature->armature",68,1,10
"127",5.09780220925,"no_armature->armature",99,1,10
"128",5.12515281338188,"armature->no_armature",73,1,10
"129",5.18642147453675,"no_armature->armature",94,1,10
"130",5.20426827855816,"armature->no_armature",49,3,10
"131",5.27302866437819,"no_armature->armature",47,1,10
"132",5.27994980393603,"no_armature->armature",6,1,10
"133",5.38048326812945,"no_armature->armature",17,2,11
"134",5.39253127802475,"no_armature->armature",75,1,11
"135",5.40095239210227,"no_armature->armature",5,2,11
"136",5.40246885350288,"no_armature->armature",19,1,11
"137",5.41134032680964,"armature->no_armature",50,2,11
"138",5.46730524502397,"no_armature->armature",11,1,11
"139",5.52707030279317,"armature->no_armature",3,1,11
"140",5.52732952141672,"armature->no_armature",10,2,11
"141",5.57329603014277,"armature->no_armature",14,4,11
"142",5.62496094330183,"no_armature->armature",27,1,11
"143",5.71767863852694,"armature->no_armature",12,1,12
"144",5.72985793925224,"armature->no_armature",87,1,12
"145",5.77906541155562,"armature->no_armature",12,2,12
"146",5.80269785770975,"armature->no_armature",12,3,12
"147",5.84764603797246,"armature->no_armature",88,7,12
"148",5.85525567397566,"no_armature->armature",96,1,12
"149",5.89507980850725,"armature->no_armature",26,2,12
"150",5.92393229179469,"no_armature->armature",64,2,12
"151",5.92743914868001,"no_armature->armature",17,3,12
"152",5.94788261998882,"no_armature->armature",29,2,12
"153",5.96490570452748,"armature->no_armature",25,3,12
"154",6.02683838931329,"no_armature->armature",81,2,12
"155",6.03329399995203,"armature->no_armature",98,3,12
"156",6.03696889380831,"no_armature->armature",93,2,12
"157",6.06222756872159,"armature->no_armature",22,2,12
"158",6.0734188489044,"armature->no_armature",30,3,12
"159",6.09942103285993,"armature->no_armature",8,1,12
"160",6.15318383795107,"armature->no_armature",98,4,12
"161",6.16810971609659,"armature->no_armature",49,4,12
"162",6.17865725892877,"no_armature->armature",65,1,12
"163",6.28877879644642,"armature->no_armature",74,1,12
"164",6.34226935196389,"no_armature->armature",99,2,12
"165",6.41024716872382,"armature->no_armature",14,5,12
"166",6.43716523888788,"armature->no_armature",87,2,12
"167",6.4517869029745,"armature->no_armature",98,5,12
"168",6.53255745503679,"armature->no_armature",50,3,12
"169",6.54568961778772,"armature->no_armature",12,4,12
"170",6.66006828807205,"armature->no_armature",33,1,12
"171",6.70090647868448,"armature->no_armature",21,1,12
"172",6.7310475850121,"armature->no_armature",50,4,12
"173",6.76646383899636,"no_armature->armature",63,1,12
"174",6.78529144705274,"armature->no_armature",81,1,12
"175",6.78921679386773,"armature->no_armature",91,2,12
"176",6.7988502224704,"armature->no_armature",41,1,12
"177",6.80034762393629,"armature->no_armature",100,1,12
"178",6.82569905580949,"armature->no_armature",91,3,12
"179",6.83580683005016,"armature->no_armature",36,4,12
"180",6.93362048631019,"no_armature->armature",78,1,12
"181",6.94449003378174,"armature->no_armature",53,3,12
"182",6.95316926273028,"armature->no_armature",26,3,12
"183",7.01986013018058,"no_armature->armature",33,2,12
"184",7.04968835467185,"armature->no_armature",5,1,12
"185",7.35096961235054,"armature->no_armature",33,2,14
"186",7.37740055637711,"armature->no_armature",30,4,14
"187",7.40648272324259,"armature->no_armature",39,1,14
"188",7.44452323684578,"armature->no_armature",42,1,14
"189",7.50113524061689,"armature->no_armature",45,3,14
"190",7.52235667318162,"armature->no_armature",70,4,14
"191",7.59036952001857,"armature->no_armature",87,3,14
"192",7.65491312657571,"armature->no_armature",55,2,14
