"","time","transition","N_sim","trans_no","edge.length"
"9406",203.21009676938,"herb_large->herb_small",96,5,465
"9407",203.211491231666,"non_herb_small->herb_small",12,19,465
"9408",203.214608526571,"non_herb_small->herb_small",46,17,465
"9409",203.214968971275,"non_herb_small->herb_small",52,22,465
"9410",203.215265835287,"non_herb_small->herb_small",84,24,465
"9411",203.22266975801,"herb_small->non_herb_small",10,31,465
"9412",203.222776502098,"non_herb_small->herb_small",93,22,465
"9413",203.223759739683,"non_herb_large->herb_large",92,9,465
"9414",203.225629599549,"non_herb_small->herb_small",26,23,465
"9415",203.230247900673,"non_herb_large->non_herb_small",76,23,465
"9416",203.2304108659,"non_herb_large->non_herb_small",59,28,465
"9417",203.232192767595,"non_herb_large->non_herb_small",63,18,465
"9418",203.232450092238,"herb_small->non_herb_small",27,33,465
"9419",203.235365584975,"herb_small->non_herb_small",11,19,465
"9420",203.238153787962,"non_herb_small->non_herb_large",4,5,465
"9421",203.239874879501,"herb_small->herb_large",56,12,465
"9422",203.243446821462,"herb_large->herb_small",49,6,465
"9423",203.247410544697,"non_herb_large->non_herb_small",40,19,465
"9424",203.247486328858,"non_herb_large->non_herb_small",55,16,465
"9425",203.247817023803,"herb_small->non_herb_small",56,30,465
"9426",203.248918631017,"herb_small->non_herb_small",59,34,465
"9427",203.25056786053,"non_herb_small->herb_small",70,20,465
"9428",203.250721135256,"non_herb_small->herb_small",90,22,465
"9429",203.25166065931,"non_herb_small->herb_small",98,13,465
"9430",203.252013993875,"non_herb_large->non_herb_small",25,22,465
"9431",203.25254231375,"non_herb_small->herb_small",10,32,465
"9432",203.257708815506,"non_herb_small->herb_small",97,18,465
"9433",203.257902183307,"herb_small->non_herb_small",64,16,465
"9434",203.258044834237,"non_herb_large->non_herb_small",66,18,465
"9435",203.260070109719,"herb_small->non_herb_small",92,29,465
"9436",203.26106277059,"herb_small->non_herb_small",16,26,465
"9437",203.267888013072,"non_herb_small->herb_small",26,24,465
"9438",203.269188357399,"non_herb_small->herb_small",56,17,466
"9439",203.270766205659,"herb_large->non_herb_large",83,3,466
"9440",203.271528136009,"herb_small->herb_large",78,10,466
"9441",203.278081533689,"non_herb_small->herb_small",74,19,466
"9442",203.27924728012,"herb_small->non_herb_small",23,36,466
"9443",203.279947315905,"non_herb_large->non_herb_small",88,27,466
"9444",203.281981023702,"non_herb_large->non_herb_small",93,23,466
"9445",203.282368116407,"non_herb_large->non_herb_small",14,24,466
"9446",203.285640642505,"non_herb_small->herb_small",47,15,466
"9447",203.286926157418,"herb_small->non_herb_small",7,29,466
"9448",203.290107199514,"non_herb_small->herb_small",96,32,466
"9449",203.292893191849,"non_herb_small->herb_small",57,21,466
"9450",203.293428264825,"non_herb_large->non_herb_small",36,14,466
"9451",203.293429274619,"herb_small->non_herb_small",76,24,466
"9452",203.299769571233,"non_herb_large->herb_small",43,1,466
"9453",203.302275834587,"herb_small->non_herb_large",81,1,466
"9454",203.302719658441,"non_herb_large->non_herb_small",15,19,466
"9455",203.303270969334,"non_herb_large->non_herb_small",78,18,466
"9456",203.303856051676,"non_herb_small->herb_small",41,28,466
"9457",203.309693311719,"herb_small->non_herb_small",53,30,466
"9458",203.311097354463,"herb_small->non_herb_small",57,27,467
"9459",203.312360730622,"non_herb_large->non_herb_small",42,25,467
"9460",203.320727816356,"non_herb_small->herb_small",90,23,467
"9461",203.321456478382,"non_herb_large->non_herb_small",16,9,467
"9462",203.322544862623,"non_herb_large->non_herb_small",58,21,467
"9463",203.323694924804,"herb_small->non_herb_small",11,20,468
"9464",203.324501897739,"non_herb_large->non_herb_small",45,22,468
"9465",203.324724900731,"non_herb_large->non_herb_small",55,17,468
"9466",203.326423644196,"herb_small->non_herb_small",7,30,468
"9467",203.328475985838,"herb_large->herb_small",55,4,468
"9468",203.329183031007,"herb_small->non_herb_small",26,19,468
"9469",203.330536174356,"non_herb_small->herb_small",32,26,468
"9470",203.333564483046,"non_herb_small->herb_small",10,33,468
"9471",203.333807438345,"herb_small->non_herb_small",50,27,468
"9472",203.335175543099,"herb_small->non_herb_small",66,24,468
"9473",203.335332443748,"herb_small->herb_large",82,7,468
"9474",203.337894474212,"non_herb_large->non_herb_small",41,17,469
"9475",203.339902937504,"herb_small->herb_large",69,8,469
"9476",203.340363217677,"herb_small->non_herb_small",85,36,469
"9477",203.340650380762,"herb_small->non_herb_small",19,26,469
