"","transition","trans_no","avg_time","SE_time"
"1","herb_large->non_herb_large",1,48.1703884303425,3.68524545812226
"2","herb_large->non_herb_large",2,21.9192980324032,1.5816186235225
"3","herb_large->non_herb_large",3,13.5515721164471,0.972325944100825
"4","herb_large->non_herb_large",4,10.2131112471921,0.770790028136926
"5","herb_small->non_herb_large",1,24.4997636147206,2.95717984407548
"6","herb_small->non_herb_large",2,11.9344558646742,1.04211017561095
"7","non_herb_large->herb_small",1,19.9083276523331,2.8284133617806
"8","herb_small->herb_large",1,71.6052618414854,4.55212168147732
"9","herb_small->herb_large",2,45.0965916576452,1.70303594966688
"10","herb_small->herb_large",3,33.5989345367403,1.22138851900307
"11","herb_small->herb_large",4,26.8987058919803,1.00084861633347
"12","herb_small->herb_large",5,22.4856256751819,0.696040104425674
"13","herb_small->herb_large",6,18.9915700536088,0.575292064183544
"14","herb_small->herb_large",7,16.5918566944213,0.535261509799237
"15","herb_small->herb_large",8,14.4097341195047,0.479187011298012
"16","herb_small->herb_large",9,12.5094957605448,0.45742178475959
"17","herb_small->herb_large",10,10.7073124153208,0.409976377450854
"18","herb_small->herb_large",11,8.50633520154456,0.33407109626538
"19","herb_small->herb_large",12,7.00059659821718,0.304979366032598
"20","herb_small->herb_large",13,5.75967578636062,0.259268996849
"21","herb_small->herb_large",14,4.81156186896921,0.220926160795865
"22","herb_small->herb_large",15,3.96635143734213,0.189595802998363
"23","herb_small->herb_large",16,3.31053940204732,0.155064711539822
"24","herb_small->herb_large",17,2.68381303814461,0.115097638336887
"25","herb_small->herb_large",18,2.20782378600131,0.088335982477029
"26","herb_small->herb_large",19,1.8190963755778,0.0807659151975691
"27","herb_small->herb_large",20,1.50629796048835,0.0787309195782786
"28","herb_small->herb_large",21,1.19346190448078,0.0725211200227724
"29","herb_small->herb_large",22,0.87937208753282,0.0608479365224946
"30","herb_small->herb_large",23,0.670247395485775,0.0530690089488524
"31","herb_small->herb_large",24,0.522851094665286,0.0464477468780603
"32","herb_small->herb_large",25,0.384834604456213,0.0362436768953366
"33","herb_small->herb_large",26,0.330747626070234,0.0332804416208128
"34","herb_small->herb_large",27,0.276307846468702,0.0316820881676078
"35","non_herb_large->non_herb_small",1,125.251753612571,5.9642272814921
"36","non_herb_large->non_herb_small",2,97.884983725399,4.99713974313219
"37","non_herb_large->non_herb_small",3,72.9568252707792,2.75218651030115
"38","non_herb_large->non_herb_small",4,62.229578709394,2.25245788131831
"39","non_herb_large->non_herb_small",5,54.509408051324,1.92068691695762
"40","non_herb_large->non_herb_small",6,49.0712164637025,1.85258390844662
"41","non_herb_large->non_herb_small",7,44.3113090930518,1.73611425606286
"42","non_herb_large->non_herb_small",8,39.5726222976038,1.61320245163956
"43","non_herb_large->non_herb_small",9,35.6121926355732,1.48117641437079
"44","non_herb_large->non_herb_small",10,31.8427759030758,1.30456462852962
"45","non_herb_large->non_herb_small",11,28.5360340178583,1.15705480684169
"46","non_herb_large->non_herb_small",12,25.5676886632512,0.988268989982105
"47","non_herb_large->non_herb_small",13,23.3375156535795,0.912259283122469
"48","non_herb_large->non_herb_small",14,21.7983074935051,0.850385993652486
"49","non_herb_large->non_herb_small",15,20.1894297953396,0.806925678929457
"50","non_herb_large->non_herb_small",16,18.7910273381922,0.766515794367015
"51","non_herb_large->non_herb_small",17,17.5014867060779,0.72037342477858
"52","non_herb_large->non_herb_small",18,16.0684631024801,0.683618401486122
"53","non_herb_large->non_herb_small",19,14.8133754603099,0.635204052884988
"54","non_herb_large->non_herb_small",20,13.3671502542609,0.558954464808165
"55","non_herb_large->non_herb_small",21,12.3119626732389,0.522215613734778
"56","non_herb_large->non_herb_small",22,11.4998097546239,0.498939735020058
"57","non_herb_large->non_herb_small",23,10.7095233428758,0.46695270853444
"58","non_herb_large->non_herb_small",24,9.72902592898519,0.446907945782354
"59","non_herb_large->non_herb_small",25,9.02645359627797,0.42047267966512
"60","non_herb_large->non_herb_small",26,8.49632757186061,0.406560189580025
"61","non_herb_large->non_herb_small",27,7.77898635982133,0.37169369457912
"62","non_herb_large->non_herb_small",28,7.09535556233859,0.340958045299377
"63","non_herb_large->non_herb_small",29,6.4905041184614,0.321363945469003
"64","non_herb_large->non_herb_small",30,6.03760551046513,0.305089317545074
"65","non_herb_large->non_herb_small",31,5.48193693341797,0.27841327531106
"66","non_herb_large->non_herb_small",32,5.04443651605266,0.238034950690584
