"","transition","time","N_sim","trans_no"
"13178","non_herb_small->herb_small",214.626252006183,37,60
"13179","non_herb_small->herb_small",214.654870960903,37,61
"13180","herb_large->herb_small",214.657984789248,37,7
"13181","non_herb_large->non_herb_small",214.713107718628,37,35
"13182","herb_small->non_herb_small",214.769826177872,37,69
"13183","non_herb_small->herb_small",214.889632409957,37,62
"13184","non_herb_small->herb_small",214.900325645463,37,63
"13185","herb_large->herb_small",214.936676287982,37,8
"13186","non_herb_small->herb_small",214.954734789222,37,64
"13187","herb_small->herb_large",214.981558586554,37,15
"13188","herb_small->non_herb_small",214.998782533551,37,70
"13189","herb_small->non_herb_small",215.013240298043,37,71
"13190","non_herb_small->herb_small",215.050842186845,37,65
"13191","non_herb_small->herb_small",215.052245322726,37,66
"13192","herb_large->herb_small",215.102889811521,37,9
"13193","non_herb_small->herb_small",215.132907116038,37,67
"13194","non_herb_large->non_herb_small",215.143599168881,37,36
"13195","non_herb_large->non_herb_small",215.218551494137,37,37
"13196","non_herb_large->herb_large",215.246225160059,37,8
"13197","non_herb_small->herb_small",215.275093096868,37,68
"13198","non_herb_small->herb_small",215.316082100372,37,69
"13199","non_herb_small->herb_small",215.37337457522,37,70
"13200","non_herb_small->herb_small",215.388655086256,37,71
"13201","herb_small->herb_large",215.389383744158,37,16
"13202","non_herb_small->non_herb_large",215.39569231172,37,22
"13203","non_herb_large->non_herb_small",215.437662297349,37,38
"13204","herb_large->herb_small",215.513028089662,37,10
"13205","herb_small->herb_large",215.525503144276,37,17
"13206","herb_large->herb_small",215.574663917332,37,11
"13207","non_herb_large->non_herb_small",215.576858151997,37,39
"13208","herb_small->herb_large",215.580699918984,37,18
"13209","non_herb_small->herb_small",215.581489757353,37,72
"13210","herb_small->non_herb_small",215.603602184481,37,72
"13211","non_herb_small->herb_small",215.607217305481,37,73
"13212","herb_small->herb_large",215.678289075041,37,19
"13213","non_herb_small->herb_small",215.694767272226,37,74
"13214","non_herb_small->herb_small",215.697034323784,37,75
"13215","non_herb_small->herb_small",215.713561742101,37,76
"13216","non_herb_small->herb_small",215.76009458249,37,77
"13217","herb_small->non_herb_small",215.803336451666,37,73
"13218","non_herb_small->herb_small",215.80648845628,37,78
"13219","non_herb_small->herb_small",215.838103813223,37,79
"13220","herb_small->non_herb_small",215.850996611866,37,74
"13221","herb_large->non_herb_large",215.863878010798,37,3
"13222","herb_small->non_herb_small",215.901712434853,37,75
"13223","non_herb_small->herb_small",215.940527964053,37,80
"13224","herb_small->herb_large",215.942780669915,37,20
"13225","herb_small->non_herb_small",215.977110294016,37,76
"13226","non_herb_small->herb_small",215.99492590588,37,81
"13227","herb_small->non_herb_small",216.108124976805,37,77
"13228","non_herb_small->herb_small",216.187549085719,37,82
"13229","non_herb_small->non_herb_large",216.227140760971,37,23
"13230","non_herb_small->herb_small",216.233633600627,37,83
"13231","non_herb_large->non_herb_small",216.26813749975,37,40
"13232","herb_small->non_herb_small",216.283582928046,37,78
"13233","herb_small->non_herb_small",216.308752398227,37,79
"13234","herb_small->non_herb_small",216.31090715737,37,80
"13235","herb_small->herb_large",216.334609725818,37,21
"13236","non_herb_large->non_herb_small",216.337668068859,37,41
"13237","non_herb_large->non_herb_small",216.418833802865,37,42
"13238","non_herb_large->herb_large",216.454458340543,37,9
"13239","non_herb_large->non_herb_small",216.461799501642,37,43
"13240","non_herb_small->herb_small",216.539239312334,37,84
"13241","non_herb_small->herb_small",216.542424283424,37,85
"13242","herb_small->non_herb_small",216.559644119371,37,81
"13243","non_herb_small->herb_small",216.568625672241,37,86
"13244","non_herb_small->herb_small",216.631321125648,37,87
"13245","herb_small->non_herb_small",216.71976282623,37,82
"13246","herb_small->non_herb_small",216.73261604082,37,83
"13247","non_herb_small->herb_small",216.740300295766,37,88
"13248","herb_small->non_herb_small",216.761015006431,37,84
"13249","non_herb_small->herb_small",216.798785457637,37,89
"13250","herb_small->non_herb_small",216.807522438988,37,85
"13251","herb_small->non_herb_small",216.826777519991,37,86
"13252","non_herb_small->herb_small",216.889126867146,37,90
"13253","non_herb_small->herb_small",216.910197182922,37,91
"13254","non_herb_small->herb_small",216.911046621065,37,92
"13255","non_herb_large->herb_large",216.93881207868,37,10
"13256","non_herb_small->herb_small",216.943794715865,37,93
"13257","herb_small->non_herb_small",216.978530767358,37,87
"13258","herb_small->herb_large",216.978630578226,37,22
"13259","non_herb_small->herb_small",217.054425445068,37,94
"13260","herb_small->non_herb_small",217.097438828485,37,88
"13261","herb_small->non_herb_small",217.134317654332,37,89
"13262","non_herb_large->non_herb_small",217.137567638804,37,44
"13263","non_herb_small->herb_small",217.167470098393,37,95
"13264","herb_small->non_herb_small",217.168208379883,37,90
"13265","non_herb_large->non_herb_small",217.184708223992,37,45
"13266","herb_small->non_herb_small",217.198047880578,37,91
"13267","herb_small->non_herb_small",217.206544809067,37,92
"13268","non_herb_small->herb_small",217.275186281096,37,96
"13269","non_herb_large->herb_large",217.278597748259,37,11
"13270","non_herb_small->non_herb_large",217.291873741288,37,24
"13271","non_herb_large->non_herb_small",217.296263675776,37,46
"13272","non_herb_small->herb_small",217.303148694688,37,97
"13273","non_herb_small->non_herb_large",217.303784696903,37,25
"13274","non_herb_small->herb_small",217.305488812985,37,98
"13275","non_herb_small->herb_small",217.31962564053,37,99
"13276","non_herb_large->herb_large",217.328296713964,37,12
"13277","herb_small->herb_large",217.368257398838,37,23
"13278","non_herb_small->herb_small",217.379822718001,37,100
"13279","herb_small->non_herb_small",217.389652185199,37,93
"13280","herb_large->herb_small",217.407096357914,37,12
"13281","non_herb_small->herb_small",217.41454061548,37,101
"13282","non_herb_small->herb_small",217.418973153843,37,102
"13283","herb_small->non_herb_small",217.420526617783,37,94
"13284","herb_small->herb_large",217.422673180171,37,24
"13285","non_herb_large->herb_large",217.435224430232,37,13
"13286","non_herb_small->herb_small",217.441049270353,37,103
"13287","non_herb_small->herb_small",217.464287966787,37,104
"13288","herb_small->herb_large",217.501894683128,37,25
"13289","non_herb_small->non_herb_large",217.51152785393,37,26
"13290","herb_small->non_herb_small",217.516039152167,37,95
"13291","non_herb_small->herb_small",217.538745107248,37,105
"13292","non_herb_small->herb_small",217.558142010525,37,106
"13293","herb_large->herb_small",217.558227422827,37,13
"13294","herb_small->herb_large",217.594214811697,37,26
"13295","non_herb_large->non_herb_small",217.625474833236,37,47
"13296","herb_small->non_herb_small",217.654183720152,37,96
"13297","non_herb_small->herb_small",217.689664194047,37,107
"13298","herb_small->non_herb_small",217.706524937648,37,97
"13299","non_herb_small->herb_small",217.724626171781,37,108
"13300","non_herb_small->herb_small",217.739206510093,37,109
"13301","non_herb_small->herb_small",217.751512869605,37,110
"13302","non_herb_small->herb_small",217.764995568838,37,111
"13303","non_herb_small->herb_small",217.766379249799,37,112
"13304","non_herb_small->non_herb_large",217.770087174421,37,27
"13305","non_herb_large->herb_large",217.771454315663,37,14
"13306","herb_small->herb_large",217.79115489897,37,27
"13307","herb_large->herb_small",217.798254928635,37,14
"13308","non_herb_small->herb_small",217.80501373685,37,113
"13309","herb_small->non_herb_small",217.810449332175,37,98
"13310","herb_small->non_herb_small",217.814522923258,37,99
"13311","non_herb_small->herb_small",217.82703203961,37,114
"13312","non_herb_small->non_herb_large",217.8325263763,37,28
"13313","herb_small->non_herb_small",6.79294678784735,38,1
"13314","herb_small->non_herb_small",34.2341331824777,38,2
"13315","non_herb_small->non_herb_large",79.2355999243457,38,1
"13316","non_herb_large->non_herb_small",84.521424099312,38,1
"13317","non_herb_small->herb_small",92.9214667684583,38,1
"13318","herb_small->non_herb_small",95.9115239489074,38,3
"13319","non_herb_small->non_herb_large",114.460934685502,38,2
"13320","non_herb_large->non_herb_small",132.070070299538,38,2
"13321","non_herb_small->herb_small",135.738827644826,38,2
"13322","non_herb_large->herb_large",140.216993630934,38,1
"13323","non_herb_large->non_herb_small",140.956193197838,38,3
"13324","non_herb_small->herb_small",142.459179402972,38,3
"13325","non_herb_large->non_herb_small",146.210667563706,38,4
"13326","non_herb_large->herb_large",147.835991616345,38,2
"13327","non_herb_large->non_herb_small",149.98283462499,38,5
"13328","non_herb_large->non_herb_small",152.713882065626,38,6
"13329","non_herb_small->herb_small",157.002171233167,38,4
"13330","non_herb_large->non_herb_small",157.036095667903,38,7
"13331","non_herb_small->herb_small",157.315786333662,38,5
"13332","non_herb_large->herb_large",157.32100762263,38,3
"13333","non_herb_large->non_herb_small",157.672250271729,38,8
"13334","herb_small->non_herb_small",158.501894239905,38,4
"13335","herb_large->non_herb_large",159.393979535445,38,1
"13336","non_herb_small->herb_small",160.539218449861,38,6
"13337","herb_small->non_herb_small",162.637495751991,38,5
"13338","non_herb_large->herb_large",163.087784254656,38,4
"13339","non_herb_large->herb_large",164.265207283803,38,5
"13340","non_herb_large->herb_large",165.89353316109,38,6
"13341","herb_small->non_herb_small",167.179966350321,38,6
"13342","non_herb_large->non_herb_small",167.520728538464,38,9
"13343","non_herb_large->herb_large",168.500338685012,38,7
"13344","herb_small->non_herb_small",170.889404256665,38,7
"13345","non_herb_large->non_herb_small",171.09050960326,38,10
"13346","non_herb_small->herb_small",172.001600758564,38,7
"13347","herb_small->non_herb_small",175.998249428811,38,8
"13348","non_herb_small->non_herb_large",179.593916205362,38,3
"13349","non_herb_large->non_herb_small",180.083615891748,38,11
"13350","herb_small->herb_large",180.466086438162,38,1
"13351","herb_small->non_herb_small",180.731567952553,38,9
"13352","herb_small->non_herb_small",182.633181585533,38,10
"13353","herb_small->non_herb_small",183.596805690871,38,11
"13354","non_herb_small->herb_small",184.09269046002,38,8
"13355","non_herb_large->non_herb_small",184.41317885454,38,12
"13356","non_herb_large->non_herb_small",184.583967581832,38,13
"13357","non_herb_large->non_herb_small",184.591403327224,38,14
"13358","herb_small->non_herb_small",185.56616706256,38,12
"13359","non_herb_small->non_herb_large",185.879637797268,38,4
"13360","non_herb_small->herb_small",186.467451985946,38,9
"13361","non_herb_small->herb_small",186.999593798677,38,10
"13362","herb_small->non_herb_small",187.478781451204,38,13
"13363","non_herb_large->herb_large",187.523720916381,38,8
"13364","non_herb_small->herb_small",187.525827716093,38,11
"13365","non_herb_small->herb_small",187.929968553983,38,12
"13366","non_herb_small->herb_small",189.413668139967,38,13
"13367","non_herb_large->non_herb_small",190.060705338623,38,15
"13368","herb_large->herb_small",190.167739810691,38,1
"13369","non_herb_small->non_herb_large",190.599540515815,38,5
"13370","herb_small->non_herb_small",190.93970150866,38,14
"13371","herb_large->non_herb_large",190.979397715847,38,2
"13372","herb_small->non_herb_small",191.214875711336,38,15
"13373","non_herb_large->non_herb_small",192.756026967916,38,16
"13374","non_herb_large->non_herb_small",193.005283885005,38,17
"13375","herb_small->non_herb_small",193.067213577277,38,16
"13376","herb_small->non_herb_small",193.780252091934,38,17
"13377","herb_small->non_herb_small",193.94320374108,38,18
"13378","herb_small->non_herb_small",194.470481781558,38,19
"13379","non_herb_large->non_herb_small",194.603714708994,38,18
"13380","herb_small->herb_large",194.665850770522,38,2
"13381","non_herb_large->herb_large",194.810626449697,38,9
"13382","non_herb_small->non_herb_large",194.877368132836,38,6
"13383","herb_small->non_herb_small",195.030544605709,38,20
"13384","non_herb_large->herb_large",195.343831328818,38,10
"13385","herb_small->non_herb_small",196.105820842783,38,21
"13386","herb_large->herb_small",196.180836256856,38,2
"13387","herb_small->herb_large",196.228999008038,38,3
"13388","non_herb_small->non_herb_large",196.318005539899,38,7
"13389","herb_small->non_herb_small",196.342509805037,38,22
"13390","non_herb_small->non_herb_large",196.989829563716,38,8
"13391","non_herb_small->herb_small",197.195977494115,38,14
"13392","herb_small->herb_large",197.362828880597,38,4
"13393","herb_small->non_herb_small",197.384546034414,38,23
"13394","non_herb_small->herb_small",197.616539651671,38,15
"13395","herb_small->non_herb_small",197.769656928341,38,24
"13396","non_herb_small->herb_small",198.208895630301,38,16
"13397","non_herb_large->non_herb_small",198.242936506578,38,19
"13398","herb_small->non_herb_small",198.252025903575,38,25
"13399","herb_small->non_herb_small",198.492185679903,38,26
"13400","herb_small->non_herb_small",198.610224075842,38,27
"13401","non_herb_small->non_herb_large",198.734211305699,38,9
"13402","herb_small->non_herb_small",198.805966523123,38,28
"13403","herb_large->herb_small",199.042514402458,38,3
"13404","herb_small->non_herb_small",199.333902851812,38,29
"13405","herb_small->herb_large",199.409423662938,38,5
"13406","non_herb_small->non_herb_large",200.464577412936,38,10
"13407","non_herb_small->herb_small",200.683771248096,38,17
"13408","non_herb_large->herb_large",200.731948049588,38,11
"13409","non_herb_small->herb_small",200.855526831446,38,18
"13410","non_herb_small->herb_small",200.974027454644,38,19
"13411","herb_small->non_herb_small",201.080889699843,38,30
"13412","non_herb_small->herb_small",201.199154880805,38,20
"13413","herb_small->non_herb_small",201.295209899426,38,31
"13414","non_herb_small->non_herb_large",201.378871346963,38,11
"13415","non_herb_small->herb_small",201.783656319133,38,21
"13416","non_herb_small->herb_small",202.029984621201,38,22
