"","transition","time","N_sim","trans_no"
"1","non_herb_small->herb_small",59.3494330400741,1,1
"2","herb_small->herb_large",67.9482822445224,1,1
"3","herb_large->non_herb_large",109.598086310719,1,1
"4","non_herb_small->herb_small",123.741311348281,1,2
"5","herb_small->herb_large",126.18550013956,1,2
"6","non_herb_small->non_herb_large",134.483009306594,1,1
"7","non_herb_small->herb_small",136.541811852796,1,3
"8","herb_large->non_herb_large",139.359193040866,1,2
"9","herb_large->herb_small",141.51636551652,1,1
"10","non_herb_large->herb_large",143.839213238949,1,1
"11","non_herb_large->herb_large",144.487156938723,1,2
"12","non_herb_small->herb_small",145.513203793008,1,4
"13","non_herb_small->herb_small",146.190860160622,1,5
"14","non_herb_small->herb_small",148.020933195615,1,6
"15","non_herb_small->herb_small",149.197786080346,1,7
"16","herb_small->non_herb_small",149.925647454734,1,1
"17","herb_small->non_herb_small",150.564204098551,1,2
"18","non_herb_small->herb_small",152.193993209214,1,8
"19","herb_small->non_herb_small",152.44805257249,1,3
"20","non_herb_large->herb_large",157.420310682803,1,3
"21","non_herb_large->herb_large",158.023445854439,1,4
"22","non_herb_large->non_herb_small",164.801991604393,1,1
"23","non_herb_small->herb_small",165.806040282997,1,9
"24","non_herb_small->herb_small",166.100280639347,1,10
"25","non_herb_large->non_herb_small",166.114819504273,1,2
"26","non_herb_large->non_herb_small",167.726474012836,1,3
"27","herb_small->non_herb_small",167.842843949749,1,4
"28","herb_small->non_herb_small",171.719668882799,1,5
"29","herb_small->herb_large",172.378234504522,1,3
"30","herb_small->non_herb_small",172.403942440199,1,6
"31","non_herb_small->herb_small",174.859142102039,1,11
"32","herb_small->non_herb_small",175.221193705144,1,7
"33","non_herb_large->non_herb_small",175.781297646492,1,4
"34","non_herb_large->non_herb_small",176.344354464995,1,5
"35","non_herb_small->non_herb_large",177.329479289924,1,2
"36","herb_small->non_herb_small",177.389934305629,1,8
"37","herb_small->non_herb_small",183.983598123979,1,9
"38","non_herb_large->non_herb_small",184.574101918782,1,6
"39","non_herb_large->non_herb_small",185.622364385731,1,7
"40","non_herb_small->non_herb_large",186.224875601836,1,3
"41","non_herb_large->non_herb_small",186.338693688948,1,8
"42","non_herb_large->non_herb_small",186.341976614183,1,9
"43","herb_small->non_herb_small",186.930831931779,1,10
"44","non_herb_small->non_herb_large",187.027128493209,1,4
"45","non_herb_large->non_herb_small",188.456054059126,1,10
"46","non_herb_large->non_herb_small",188.821014209162,1,11
"47","non_herb_small->herb_small",189.012869627246,1,12
"48","herb_small->non_herb_small",189.63657215419,1,11
"49","non_herb_small->herb_small",190.119711527597,1,13
"50","herb_small->non_herb_small",190.453382592329,1,12
"51","herb_small->non_herb_small",190.460959766565,1,13
"52","herb_small->herb_large",190.741486626712,1,4
"53","herb_small->non_herb_small",190.997682043006,1,14
"54","non_herb_large->non_herb_small",191.427022589782,1,12
"55","herb_small->non_herb_small",191.79726447486,1,15
"56","herb_large->herb_small",192.120385703101,1,2
"57","herb_small->herb_large",194.581511973517,1,5
"58","non_herb_large->herb_large",194.705567943567,1,5
"59","non_herb_small->herb_small",195.416689049787,1,14
"60","non_herb_small->herb_small",195.493367252058,1,15
"61","herb_small->non_herb_small",195.601390736819,1,16
"62","non_herb_small->non_herb_large",196.538986800489,1,5
"63","herb_large->herb_small",196.643016532661,1,3
"64","herb_small->non_herb_small",196.702472808161,1,17
"65","non_herb_small->herb_small",196.955939299945,1,16
"66","herb_small->non_herb_small",197.316727382399,1,18
"67","non_herb_large->herb_large",197.729925225563,1,6
"68","herb_large->non_herb_large",198.259453235661,1,3
"69","herb_small->herb_large",198.329595892943,1,6
"70","non_herb_small->herb_small",198.34848272097,1,17
"71","non_herb_small->herb_small",198.621397610561,1,18
"72","herb_small->herb_large",198.962634575013,1,7
"73","non_herb_large->non_herb_small",199.486993180258,1,13
"74","non_herb_large->non_herb_small",199.649293691159,1,14
"75","non_herb_small->herb_small",199.662132890574,1,19
"76","herb_small->non_herb_small",199.688703098305,1,19
"77","herb_small->herb_large",199.740072112159,1,8
"78","herb_small->non_herb_small",200.176424940407,1,20
"79","herb_small->herb_large",200.288945204118,1,9
"80","non_herb_small->herb_small",200.31119912843,1,20
"81","non_herb_small->herb_small",200.416404213971,1,21
"82","non_herb_small->herb_small",200.831385727824,1,22
"83","non_herb_large->herb_large",200.945244597846,1,7
"84","non_herb_large->herb_small",201.16039797649,1,1
"85","non_herb_small->non_herb_large",201.544091941749,1,6
"86","non_herb_large->non_herb_small",201.861489078585,1,15
"87","non_herb_small->herb_small",202.384402939695,1,23
"88","herb_small->non_herb_small",202.486473378262,1,21
"89","herb_small->non_herb_small",202.788555629413,1,22
"90","non_herb_small->herb_small",202.857484578965,1,24
"91","non_herb_large->non_herb_small",203.64147394144,1,16
"92","non_herb_small->herb_small",203.704343205483,1,25
"93","herb_small->non_herb_small",203.829805545051,1,23
"94","non_herb_small->herb_small",204.053860017644,1,26
"95","herb_small->herb_large",204.239313714082,1,10
"96","non_herb_small->herb_small",204.361277487393,1,27
"97","herb_small->non_herb_small",204.406411336553,1,24
"98","herb_small->non_herb_small",204.769656308798,1,25
"99","herb_large->herb_small",204.774251134687,1,4
"100","non_herb_small->non_herb_large",204.840140124056,1,7
"101","non_herb_small->herb_small",204.963074849869,1,28
"102","non_herb_small->herb_small",205.038121119878,1,29
"103","non_herb_large->non_herb_small",205.209022560012,1,17
"104","non_herb_small->non_herb_large",205.219291537216,1,8
"105","herb_small->non_herb_small",205.235560064569,1,26
"106","non_herb_small->herb_small",205.608064362226,1,30
"107","non_herb_small->herb_small",206.025013923147,1,31
"108","herb_small->non_herb_small",206.071735357648,1,27
"109","non_herb_large->non_herb_small",206.103915508401,1,18
"110","non_herb_small->herb_small",206.261884983076,1,32
"111","non_herb_small->non_herb_large",206.312356380295,1,9
"112","non_herb_small->herb_small",206.348481816124,1,33
"113","non_herb_large->non_herb_small",206.37959027116,1,19
"114","herb_small->herb_large",206.426055097333,1,11
"115","herb_small->non_herb_small",206.467407131963,1,28
"116","herb_small->non_herb_large",206.542011453319,1,1
"117","non_herb_large->non_herb_small",206.565048132627,1,20
"118","herb_large->non_herb_large",206.678280575889,1,4
"119","non_herb_small->herb_small",206.783554928852,1,34
"120","non_herb_small->herb_small",206.821378460407,1,35
"121","herb_small->non_herb_large",206.965611346584,1,2
"122","non_herb_small->herb_small",207.024992281725,1,36
"123","non_herb_small->non_herb_large",207.124144761109,1,10
"124","herb_small->non_herb_small",207.143482238976,1,29
"125","non_herb_small->non_herb_large",207.227085497804,1,11
"126","non_herb_small->non_herb_large",207.249160955719,1,12
"127","herb_small->herb_large",207.409225871458,1,12
"128","non_herb_small->herb_small",207.725310957551,1,37
"129","herb_large->herb_small",207.862772066702,1,5
"130","herb_small->non_herb_small",207.959693610413,1,30
"131","herb_small->non_herb_small",207.981253326681,1,31
"132","non_herb_small->herb_small",208.037208391305,1,38
"133","herb_large->herb_small",208.091865376387,1,6
"134","herb_small->non_herb_small",208.213914845921,1,32
"135","herb_large->herb_small",208.271329557864,1,7
"136","herb_small->non_herb_small",208.310170397155,1,33
"137","non_herb_small->herb_small",208.333934622842,1,39
"138","herb_large->herb_small",208.534459591348,1,8
"139","non_herb_small->herb_small",208.569424720537,1,40
"140","non_herb_small->herb_small",208.723962942814,1,41
"141","herb_small->non_herb_small",208.840067972696,1,34
"142","non_herb_large->non_herb_small",209.006031152918,1,21
"143","herb_small->non_herb_small",209.2974674301,1,35
"144","non_herb_large->non_herb_small",209.31917936388,1,22
"145","non_herb_small->herb_small",209.32653180678,1,42
"146","non_herb_small->herb_small",209.46881223931,1,43
"147","herb_small->non_herb_small",209.507521139308,1,36
"148","herb_large->herb_small",209.510001954176,1,9
"149","non_herb_small->herb_small",209.70281334768,1,44
"150","non_herb_small->herb_small",209.716892861675,1,45
"151","non_herb_small->herb_small",210.022549652318,1,46
"152","non_herb_small->non_herb_large",210.10698200398,1,13
"153","non_herb_large->herb_large",210.120403196328,1,8
"154","herb_large->herb_small",210.183072020769,1,10
"155","non_herb_large->non_herb_small",210.224805396946,1,23
"156","non_herb_small->herb_small",210.37952232001,1,47
"157","herb_small->non_herb_small",210.463221902939,1,37
"158","herb_small->herb_large",210.541431042414,1,13
"159","herb_small->non_herb_small",210.675996483411,1,38
"160","non_herb_large->non_herb_small",210.728049578783,1,24
"161","herb_small->non_herb_small",210.812512274786,1,39
"162","non_herb_large->non_herb_small",210.942355473356,1,25
"163","herb_small->herb_large",211.00333261426,1,14
"164","non_herb_small->non_herb_large",211.028490208534,1,14
"165","non_herb_small->herb_small",211.084739215804,1,48
"166","non_herb_small->herb_small",211.107787552804,1,49
"167","non_herb_small->herb_small",211.275576285587,1,50
"168","non_herb_small->herb_small",211.303643602188,1,51
"169","non_herb_small->herb_small",211.31642097181,1,52
"170","non_herb_small->herb_small",211.389870829474,1,53
"171","non_herb_large->non_herb_small",211.487820008235,1,26
"172","herb_small->non_herb_small",211.573992705652,1,40
"173","non_herb_large->non_herb_small",211.749647883716,1,27
"174","non_herb_large->herb_small",211.755702621112,1,2
"175","herb_small->non_herb_small",211.763560098173,1,41
"176","non_herb_small->herb_small",211.807889210543,1,54
"177","non_herb_small->herb_small",212.159084693082,1,55
"178","non_herb_small->herb_small",212.278471617962,1,56
"179","non_herb_large->non_herb_small",212.290155755348,1,28
"180","non_herb_small->herb_small",212.327971177511,1,57
"181","herb_small->non_herb_small",212.456377393696,1,42
"182","non_herb_small->herb_small",212.540265224515,1,58
"183","non_herb_small->herb_small",212.556028266486,1,59
"184","non_herb_small->non_herb_large",212.568389798074,1,15
"185","non_herb_small->herb_small",212.618372595846,1,60
"186","herb_small->herb_large",212.717818822872,1,15
"187","non_herb_small->non_herb_large",212.765693273548,1,16
"188","non_herb_large->non_herb_small",212.80129829702,1,29
"189","herb_small->non_herb_small",212.897577054202,1,43
"190","non_herb_small->non_herb_large",212.897638188886,1,17
"191","herb_small->non_herb_small",212.952656728306,1,44
"192","non_herb_small->herb_small",212.981033770485,1,61
"193","non_herb_large->herb_large",213.08141727153,1,9
"194","non_herb_large->non_herb_small",213.125406523881,1,30
"195","non_herb_small->herb_small",213.140541965856,1,62
"196","herb_small->herb_large",213.157343020103,1,16
"197","non_herb_small->herb_small",213.366344083321,1,63
"198","non_herb_small->herb_small",213.395445902728,1,64
"199","non_herb_small->herb_small",213.416877123611,1,65
"200","non_herb_small->herb_small",213.482633356119,1,66
"201","non_herb_small->non_herb_large",213.61792015988,1,18
"202","herb_small->non_herb_small",213.6363451152,1,45
"203","non_herb_small->herb_small",213.663154533176,1,67
"204","non_herb_small->herb_small",213.666528317202,1,68
"205","non_herb_small->herb_small",213.739428079163,1,69
"206","herb_large->herb_small",213.775554446689,1,11
"207","non_herb_small->herb_small",213.794984563697,1,70
"208","non_herb_small->herb_small",213.826387725605,1,71
"209","herb_small->non_herb_small",213.879574433678,1,46
"210","herb_small->herb_large",213.91865133871,1,17
"211","non_herb_small->non_herb_large",213.979476860763,1,19
"212","herb_small->non_herb_small",213.993819679666,1,47
"213","herb_small->non_herb_small",214.157742067584,1,48
"214","non_herb_small->herb_small",214.176126076244,1,72
"215","herb_small->non_herb_small",214.191477411211,1,49
"216","herb_small->non_herb_small",214.209052464854,1,50
"217","herb_small->non_herb_small",214.329103785311,1,51
"218","non_herb_small->herb_small",214.342764182598,1,73
"219","non_herb_large->non_herb_small",214.347984721109,1,31
"220","non_herb_small->herb_small",214.36443472442,1,74
"221","non_herb_large->non_herb_small",214.371151404107,1,32
"222","non_herb_small->herb_small",214.374581262273,1,75
"223","herb_small->herb_large",214.420989091158,1,18
"224","non_herb_small->herb_small",214.484418306393,1,76
"225","non_herb_small->herb_small",214.487883336438,1,77
"226","herb_small->non_herb_small",214.490683474986,1,52
"227","non_herb_small->herb_small",214.515346572684,1,78
"228","herb_small->non_herb_small",214.548919437709,1,53
"229","non_herb_large->herb_large",214.550010208916,1,10
"230","non_herb_small->herb_small",214.587177355679,1,79
"231","herb_small->non_herb_small",214.72237992861,1,54
"232","non_herb_small->non_herb_large",214.769637768482,1,20
"233","herb_small->herb_large",214.811587174022,1,19
"234","non_herb_small->herb_small",214.840283454578,1,80
"235","herb_small->non_herb_small",214.877693978109,1,55
"236","non_herb_large->non_herb_small",214.884493854214,1,33
"237","non_herb_large->non_herb_small",214.968758919713,1,34
"238","non_herb_small->herb_small",214.974390268972,1,81
"239","herb_small->non_herb_small",215.07335051481,1,56
"240","non_herb_small->herb_small",215.117469575248,1,82
"241","herb_small->non_herb_small",215.119282741704,1,57
"242","non_herb_small->non_herb_large",215.153409641812,1,21
"243","non_herb_small->herb_small",215.182079994126,1,83
"244","non_herb_small->non_herb_large",215.183621743388,1,22
"245","non_herb_large->non_herb_small",215.222461467782,1,35
"246","non_herb_small->herb_small",215.223779810025,1,84
"247","non_herb_small->herb_small",215.266146622679,1,85
"248","herb_large->herb_small",215.279956745944,1,12
"249","non_herb_small->herb_small",215.31107846897,1,86
"250","non_herb_large->non_herb_small",215.337648911077,1,36
"251","non_herb_large->non_herb_small",215.382426194654,1,37
"252","non_herb_small->non_herb_large",215.413769951647,1,23
"253","non_herb_large->non_herb_small",215.424239417317,1,38
"254","non_herb_small->herb_small",215.429090250348,1,87
"255","herb_small->non_herb_small",215.437099729559,1,58
"256","herb_large->herb_small",215.481463322222,1,13
"257","non_herb_small->herb_small",215.489608739831,1,88
"258","herb_large->herb_small",215.501841563597,1,14
"259","non_herb_small->herb_small",215.53100241214,1,89
"260","herb_large->herb_small",215.587494606491,1,15
"261","non_herb_small->herb_small",215.598182278113,1,90
"262","herb_small->non_herb_small",215.629002104915,1,59
"263","non_herb_large->herb_large",215.682768483918,1,11
"264","herb_small->herb_large",215.694535231335,1,20
"265","non_herb_large->non_herb_small",215.700912946338,1,39
"266","non_herb_small->herb_small",215.702217924205,1,91
"267","non_herb_small->herb_small",215.714924619869,1,92
"268","non_herb_large->non_herb_small",215.813527498519,1,40
"269","non_herb_small->herb_small",215.839021087224,1,93
"270","non_herb_small->herb_small",215.864182385748,1,94
"271","non_herb_large->non_herb_small",215.899629713288,1,41
"272","herb_small->herb_large",215.91081525934,1,21
"273","non_herb_small->herb_small",215.952224969609,1,95
"274","non_herb_small->herb_small",216.000641672396,1,96
"275","non_herb_small->non_herb_large",216.065536542885,1,24
"276","non_herb_large->non_herb_small",216.073315214486,1,42
"277","herb_small->non_herb_small",216.088795185179,1,60
"278","herb_small->non_herb_small",216.138604150129,1,61
"279","non_herb_large->non_herb_small",216.191773177046,1,43
"280","herb_small->non_herb_small",216.212843975205,1,62
"281","herb_small->non_herb_small",216.244989579667,1,63
"282","non_herb_small->herb_small",216.24800594871,1,97
"283","herb_large->herb_small",216.273500583895,1,16
"284","non_herb_small->herb_small",216.356756586731,1,98
"285","non_herb_large->herb_large",216.376168787852,1,12
"286","herb_small->non_herb_small",216.458390640872,1,64
"287","non_herb_small->herb_small",216.470874980406,1,99
"288","herb_small->non_herb_small",216.559030696312,1,65
"289","non_herb_small->herb_small",216.564713305873,1,100
"290","herb_small->non_herb_small",216.570109664777,1,66
"291","non_herb_large->non_herb_small",216.598071589476,1,44
"292","herb_small->non_herb_small",216.627494699069,1,67
"293","non_herb_large->non_herb_small",216.630962157841,1,45
"294","herb_small->non_herb_small",216.671009933671,1,68
"295","non_herb_large->non_herb_small",216.734031516067,1,46
"296","herb_small->herb_large",216.736743664987,1,22
"297","herb_small->herb_large",216.760904215405,1,23
"298","herb_small->non_herb_small",216.762916468193,1,69
"299","herb_small->herb_large",216.77712713634,1,24
"300","herb_small->non_herb_small",216.876304858991,1,70
"301","herb_small->non_herb_small",216.91069564324,1,71
"302","herb_small->non_herb_small",217.0281429964,1,72
"303","herb_small->non_herb_small",217.063063865887,1,73
"304","non_herb_small->herb_small",217.069824143551,1,101
"305","herb_small->non_herb_small",217.078160696315,1,74
"306","herb_small->non_herb_small",217.091104661993,1,75
"307","non_herb_small->herb_small",217.106451588929,1,102
"308","non_herb_small->non_herb_large",217.142354858319,1,25
"309","herb_small->non_herb_small",217.14322068961,1,76
"310","herb_small->non_herb_small",217.149605257299,1,77
"311","herb_small->non_herb_small",217.179379336547,1,78
"312","non_herb_small->herb_small",217.23052522372,1,103
"313","non_herb_small->herb_small",217.248891178678,1,104
"314","herb_small->non_herb_small",217.256353167504,1,79
"315","non_herb_large->non_herb_small",217.256800666151,1,47
"316","non_herb_large->non_herb_small",217.274419966329,1,48
"317","herb_small->non_herb_small",217.284507136971,1,80
"318","non_herb_small->herb_small",217.284631543184,1,105
"319","herb_small->herb_large",217.288725189044,1,25
"320","non_herb_small->herb_small",217.31960869001,1,106
"321","non_herb_large->non_herb_small",217.321122126695,1,49
"322","herb_small->herb_large",217.32501480653,1,26
"323","non_herb_small->non_herb_large",217.341573341144,1,26
"324","herb_small->non_herb_small",217.344719412618,1,81
"325","non_herb_small->herb_small",217.384907294875,1,107
"326","herb_small->non_herb_small",217.389958458191,1,82
"327","non_herb_small->herb_small",217.390634651518,1,108
"328","herb_small->herb_large",217.424617956948,1,27
"329","non_herb_small->herb_small",217.433415682945,1,109
"330","non_herb_large->herb_large",217.440774654349,1,13
"331","herb_small->herb_large",217.503771147406,1,28
"332","herb_large->herb_small",217.508046295603,1,17
"333","non_herb_small->non_herb_large",217.533468911171,1,27
"334","non_herb_small->herb_small",217.537265265868,1,110
"335","herb_small->non_herb_small",217.545103027286,1,83
"336","herb_small->herb_large",217.55120911885,1,29
"337","herb_small->non_herb_small",217.556266066781,1,84
"338","non_herb_small->non_herb_large",217.557614114794,1,28
"339","non_herb_small->herb_small",217.566907981838,1,111
"340","non_herb_small->herb_small",217.608177912376,1,112
"341","non_herb_large->non_herb_small",217.623283418456,1,50
"342","herb_small->non_herb_small",217.628868243145,1,85
"343","herb_small->non_herb_small",217.659851633834,1,86
"344","herb_small->non_herb_small",217.678266648001,1,87
"345","non_herb_large->herb_large",217.679585527522,1,14
"346","herb_small->non_herb_small",217.679649456058,1,88
"347","non_herb_large->non_herb_small",217.685736524136,1,51
"348","non_herb_small->herb_small",217.686609310215,1,113
"349","non_herb_small->herb_small",217.696421062245,1,114
"350","herb_small->non_herb_small",217.699433059125,1,89
"351","non_herb_small->herb_small",217.708850555908,1,115
"352","herb_small->non_herb_small",217.729162038646,1,90
"353","herb_large->herb_small",217.741750175184,1,18
"354","non_herb_large->herb_large",217.742081694683,1,15
"355","non_herb_large->herb_large",217.746272159651,1,16
"356","herb_small->non_herb_small",217.748418127685,1,91
"357","non_herb_small->herb_small",217.751437969393,1,116
"358","non_herb_small->non_herb_large",217.760512258673,1,29
"359","herb_large->herb_small",217.762251090477,1,19
"360","herb_small->non_herb_small",217.767223289382,1,92
"361","herb_small->non_herb_small",217.775676597092,1,93
"362","non_herb_small->herb_small",217.802885882404,1,117
"363","non_herb_small->herb_small",217.813922232373,1,118
"364","non_herb_small->herb_small",217.814399747937,1,119
"365","non_herb_small->herb_small",217.832020609958,1,120
"366","non_herb_small->herb_small",14.1514137114864,2,1
"367","non_herb_small->herb_small",34.352627478635,2,2
"368","herb_small->non_herb_small",50.1792438851764,2,1
"369","non_herb_small->herb_small",70.3355446735047,2,3
"370","herb_small->non_herb_small",76.1862659141344,2,2
"371","herb_small->non_herb_small",81.7609662983,2,3
"372","non_herb_small->non_herb_large",127.610496015233,2,1
"373","herb_small->non_herb_small",129.092410614932,2,4
"374","non_herb_large->non_herb_small",134.819761999547,2,1
"375","non_herb_small->herb_small",137.414801838105,2,4
"376","non_herb_large->herb_large",141.236854840988,2,1
"377","herb_small->non_herb_small",141.772346049713,2,5
"378","non_herb_small->non_herb_large",145.193852165798,2,2
"379","non_herb_small->herb_small",147.729786163248,2,5
"380","non_herb_large->herb_large",149.387343164217,2,2
"381","non_herb_large->non_herb_small",150.094676453855,2,2
"382","non_herb_large->herb_large",150.689924212965,2,3
"383","non_herb_large->non_herb_small",151.321566557522,2,3
"384","non_herb_small->non_herb_large",154.273125783323,2,3
"385","herb_small->non_herb_small",154.373540185602,2,6
"386","non_herb_small->herb_small",158.004219398236,2,6
"387","non_herb_small->herb_small",161.770192014174,2,7
"388","non_herb_small->herb_small",164.35096386068,2,8
"389","non_herb_small->herb_small",165.765944952591,2,9
"390","non_herb_small->herb_small",166.762907678074,2,10
"391","non_herb_small->non_herb_large",167.401025672194,2,4
"392","non_herb_small->herb_small",167.476897126772,2,11
"393","non_herb_small->herb_small",168.58450662017,2,12
"394","herb_small->herb_large",168.76412741688,2,1
"395","non_herb_small->herb_small",170.797890036801,2,13
"396","non_herb_large->non_herb_small",172.011122035105,2,4
"397","non_herb_large->non_herb_small",172.493559903614,2,5
"398","non_herb_small->herb_small",177.00307843218,2,14
"399","non_herb_small->herb_small",177.39989888636,2,15
"400","herb_small->non_herb_small",177.917982232878,2,7
"401","herb_small->non_herb_small",181.100864284658,2,8
"402","herb_small->herb_large",181.93213306204,2,2
"403","non_herb_small->herb_small",181.98361377405,2,16
"404","herb_small->non_herb_small",182.438547281114,2,9
"405","herb_large->herb_small",182.895148459266,2,1
"406","non_herb_small->non_herb_large",184.268951129836,2,5
"407","non_herb_small->non_herb_large",184.323120792958,2,6
"408","non_herb_small->herb_small",184.601619772577,2,17
"409","non_herb_large->non_herb_small",185.168979167665,2,6
"410","herb_small->non_herb_small",188.029355940924,2,10
"411","herb_small->non_herb_small",189.161862850725,2,11
"412","herb_small->herb_large",189.654795825283,2,3
"413","non_herb_small->non_herb_large",189.792358197657,2,7
"414","non_herb_small->non_herb_large",190.484267848922,2,8
"415","herb_large->non_herb_large",191.085837168486,2,1
"416","herb_small->herb_large",191.294259437893,2,4
"417","non_herb_large->non_herb_small",191.415257057743,2,7
"418","herb_small->herb_large",192.238471514231,2,5
"419","herb_small->non_herb_small",193.115171368772,2,12
"420","non_herb_large->non_herb_small",193.836288459722,2,8
"421","non_herb_small->non_herb_large",194.423646008723,2,9
"422","herb_large->herb_small",194.940364628063,2,2
"423","non_herb_large->herb_large",194.946798889742,2,4
"424","herb_small->herb_large",195.598289860865,2,6
"425","non_herb_small->herb_small",196.279388536953,2,18
"426","herb_small->non_herb_small",196.566690373018,2,13
"427","herb_small->non_herb_small",196.69060095972,2,14
"428","herb_small->non_herb_small",196.707633520869,2,15
"429","non_herb_small->herb_small",197.489538993646,2,19
"430","herb_small->herb_large",197.710145286672,2,7
"431","herb_small->non_herb_small",198.494462936675,2,16
"432","non_herb_small->non_herb_large",198.826892253321,2,10
"433","non_herb_small->herb_small",199.054456764257,2,20
"434","non_herb_large->non_herb_small",199.088923943432,2,9
"435","non_herb_small->herb_small",199.151031165947,2,21
"436","herb_small->non_herb_small",199.415438442825,2,17
"437","herb_small->non_herb_small",200.49537980958,2,18
"438","non_herb_small->herb_small",200.508256685637,2,22
"439","herb_small->non_herb_small",200.57775755159,2,19
"440","herb_small->non_herb_small",200.877402428613,2,20
"441","non_herb_large->non_herb_small",200.987948654321,2,10
"442","non_herb_large->non_herb_small",201.187766944496,2,11
"443","non_herb_small->non_herb_large",201.659765148019,2,11
"444","herb_small->non_herb_small",201.779202612348,2,21
"445","non_herb_large->non_herb_small",201.973431638382,2,12
"446","non_herb_large->herb_large",201.981674845114,2,5
"447","herb_small->non_herb_small",201.991938416115,2,22
"448","non_herb_small->non_herb_large",202.003028897537,2,12
"449","non_herb_small->herb_small",202.007296371353,2,23
"450","non_herb_large->non_herb_small",202.426375169529,2,13
"451","non_herb_small->herb_small",202.488483458537,2,24
"452","herb_large->non_herb_large",202.600632325966,2,2
"453","herb_small->herb_large",202.631856612586,2,8
"454","herb_small->non_herb_small",202.833677769426,2,23
"455","herb_small->non_herb_small",202.977031590974,2,24
"456","herb_small->non_herb_small",203.543609087842,2,25
"457","non_herb_large->non_herb_small",203.602067338921,2,14
"458","herb_small->non_herb_small",203.735788331302,2,26
"459","non_herb_large->non_herb_small",203.750200877581,2,15
"460","non_herb_small->herb_small",203.840235713241,2,25
"461","herb_small->non_herb_small",204.476856827002,2,27
"462","herb_small->non_herb_small",204.575243128893,2,28
"463","non_herb_small->non_herb_large",204.859458545333,2,13
"464","herb_small->herb_large",205.208820884776,2,9
"465","non_herb_large->non_herb_small",205.541132688832,2,16
"466","herb_small->non_herb_small",205.560295185577,2,29
"467","herb_small->non_herb_small",205.590032153276,2,30
"468","herb_small->non_herb_small",205.591323335119,2,31
"469","herb_small->non_herb_small",205.605419041782,2,32
"470","herb_small->non_herb_small",205.760011041547,2,33
"471","non_herb_small->non_herb_large",205.773226575536,2,14
"472","herb_small->non_herb_small",205.901946411469,2,34
"473","herb_small->non_herb_small",205.92481265138,2,35
"474","non_herb_large->non_herb_small",206.001827337488,2,17
"475","non_herb_large->non_herb_small",206.262190110549,2,18
"476","herb_small->non_herb_small",206.635640979594,2,36
"477","non_herb_large->non_herb_small",206.65423177857,2,19
"478","non_herb_small->herb_small",206.681463593414,2,26
"479","herb_large->non_herb_large",206.712219992829,2,3
"480","non_herb_large->non_herb_small",206.715644881612,2,20
"481","herb_small->non_herb_small",206.746412113179,2,37
"482","herb_small->non_herb_small",206.751985164333,2,38
"483","herb_small->non_herb_small",206.986391458373,2,39
"484","herb_large->herb_small",207.024896208297,2,3
"485","non_herb_small->non_herb_large",207.103944287519,2,15
"486","non_herb_small->herb_small",207.253036828248,2,27
"487","herb_small->non_herb_small",207.273474230156,2,40
"488","non_herb_large->non_herb_small",207.29212070177,2,21
"489","non_herb_small->herb_small",207.515035555734,2,28
"490","non_herb_small->herb_small",207.836508068619,2,29
"491","non_herb_large->non_herb_small",207.837937087306,2,22
"492","non_herb_small->herb_small",207.884249467235,2,30
"493","herb_small->non_herb_small",208.018846245913,2,41
"494","herb_small->herb_large",208.171613851689,2,10
"495","herb_small->non_herb_large",208.261513450836,2,1
"496","herb_small->non_herb_small",208.277264073332,2,42
"497","herb_small->non_herb_small",208.335480180248,2,43
"498","non_herb_small->herb_small",208.339822221997,2,31
"499","herb_small->non_herb_small",208.517946541763,2,44
"500","non_herb_large->non_herb_small",208.675046342913,2,23
"501","non_herb_small->herb_small",208.86061068036,2,32
"502","non_herb_large->non_herb_small",209.014764130245,2,24
"503","non_herb_small->herb_small",209.126176181758,2,33
"504","non_herb_small->herb_small",209.163346491096,2,34
"505","herb_large->herb_small",209.204220958328,2,4
"506","non_herb_large->non_herb_small",209.2191333817,2,25
"507","herb_small->herb_large",209.252464070395,2,11
"508","non_herb_small->herb_small",209.44069805877,2,35
"509","non_herb_small->herb_small",209.482178208597,2,36
"510","non_herb_small->herb_small",209.833220061629,2,37
"511","non_herb_small->herb_small",209.835566594918,2,38
"512","herb_small->non_herb_small",209.880203025273,2,45
"513","herb_small->non_herb_small",209.954602449423,2,46
"514","herb_small->herb_large",209.981477480622,2,12
"515","non_herb_large->non_herb_small",210.001988657532,2,26
"516","non_herb_small->herb_small",210.010983808879,2,39
"517","herb_large->herb_small",210.048897015355,2,5
"518","herb_small->non_herb_small",210.106966279499,2,47
"519","non_herb_small->herb_small",210.139267189715,2,40
"520","non_herb_large->herb_large",210.309406778766,2,6
"521","non_herb_large->non_herb_small",210.32905734374,2,27
"522","non_herb_small->herb_small",210.443706102005,2,41
"523","non_herb_small->herb_small",210.458040980823,2,42
"524","herb_small->non_herb_small",210.489292595365,2,48
"525","non_herb_small->herb_small",210.49470075707,2,43
"526","non_herb_small->herb_small",210.685317530311,2,44
"527","herb_small->non_herb_small",210.995141641461,2,49
"528","herb_small->non_herb_small",211.247581157706,2,50
"529","non_herb_large->non_herb_small",211.481910844314,2,28
"530","non_herb_small->herb_small",211.489643165453,2,45
"531","herb_small->non_herb_small",211.610614756915,2,51
"532","non_herb_large->non_herb_small",211.61652906173,2,29
