"","Condition_Met"
"Ningaui_yvonneae",0
"Sminthopsis_leucopus",0
"Sminthopsis_archeri",0
"Sminthopsis_dolichura",0
"Sminthopsis_ooldea",0
"Sminthopsis_youngsoni",0
"Sminthopsis_butleri",0
"Sminthopsis_murina",0
"Sminthopsis_gilberti",0
"Sminthopsis_hirtipes",0
"Sminthopsis_longicaudata",0
"Sminthopsis_granulipes",0
"Sminthopsis_psammophila",0
"Sminthopsis_griseoventer",0
"Sminthopsis_aitkeni",0
"Sminthopsis_macroura",0
"Sminthopsis_douglasi",0
"Sminthopsis_bindi",0
"Sminthopsis_crassicaudata",0
"Sminthopsis_virginiae",0
"Phascolosorex_doriae",0
"Thylacinus_cynocephalus",0
"Dromiciops_gliroides",0
"Lestodelphys_halli",0
"Thylamys_venustus",0
"Thylamys_cinderella",0
"Thylamys_pusillus",0
"Thylamys_citellus",0
"Thylamys_tatei",0
"Thylamys_pallidior",0
"Thylamys_elegans",0
"Thylamys_macrurus",0
"Thylamys_velutinus",0
"Thylamys_karimii",0
"Gracilinanus_microtarsus",0
"Gracilinanus_agilis",0
"Gracilinanus_aceramarcae",0
"Gracilinanus_emiliae",0
"Gracilinanus_marica",0
"Gracilinanus_dryas",0
"Cryptonanus_chacoensis",0
"Cryptonanus_unduaviensis",0
"Marmosops_impavidus",0
"Marmosops_neblina",0
"Marmosops_noctivagus",0
"Marmosops_incanus",0
"Marmosops_paulensis",0
"Marmosops_parvidens",0
"Marmosops_pinheiroi",0
"Metachirus_nudicaudatus",0
"Lutreolina_crassicaudata",0
"Lutreolina_massoia",0
"Philander_frenatus",0
"Philander_opossum",0
"Philander_mcilhennyi",0
"Philander_andersoni",0
"Didelphis_virginiana",0
"Didelphis_marsupialis",0
"Didelphis_aurita",0
"Didelphis_pernigra",0
"Didelphis_albiventris",0
"Didelphis_imperfecta",0
"Chironectes_minimus",0
"Monodelphis_reigi",0
"Monodelphis_adusta",0
"Monodelphis_osgoodi",0
"Monodelphis_emiliae",0
"Monodelphis_dimidiata",0
"Monodelphis_americana",0
"Monodelphis_brevicaudata",0
"Monodelphis_glirina",0
"Monodelphis_domestica",0
"Monodelphis_iheringi",0
"Monodelphis_scalops",0
"Monodelphis_kunsi",0
"Tlacuatzin_canescens",0
"Marmosa_demerarae",0
"Marmosa_paraguayanus",0
"Marmosa_regina",0
"Marmosa_phaea",0
"Marmosa_constantiae",0
"Marmosa_tyleriana",0
"Marmosa_murina",0
"Marmosa_quichua",0
"Marmosa_lepida",0
"Marmosa_rubra",0
"Marmosa_xerophila",0
"Marmosa_robinsoni",0
"Marmosa_mexicana",0
"Hyladelphys_kalinowskii",0
"Caluromysiops_irrupta",0
"Caluromys_derbianus",0
"Caluromys_lanatus",0
"Caluromys_philander",0
"Glironia_venusta",0
"Lestoros_inca",0
"Rhyncholestes_raphanurus",0
"Caenolestes_sangay",0
"Caenolestes_caniventer",0
"Caenolestes_convelatus",0
"Caenolestes_fuliginosus",0
"Eupleres_goudotii",0
"Eupleres_major",0
"Fossa_fossana",0
"Cryptoprocta_spelea",0
"Cryptoprocta_ferox",0
"Galidia_elegans",0
"Salanoia_concolor",0
"Mungotictis_decemlineata",0
"Galidictis_grandidieri",0
"Galidictis_fasciata",0
"Liberiictis_kuhni",0
"Suricata_suricatta",0
"Mungos_mungo",0
"Mungos_gambianus",0
"Crossarchus_obscurus",0
"Crossarchus_platycephalus",0
"Crossarchus_alexandri",0
"Helogale_parvula",0
"Helogale_hirtula",0
"Dologale_dybowskii",0
"Ichneumia_albicauda",0
"Bdeogale_nigripes",0
"Bdeogale_jacksoni",0
"Bdeogale_crassicauda",0
"Bdeogale_omnivora",0
"Rhynchogale_melleri",0
"Cynictis_penicillata",0
"Paracynictis_selousi",0
"Herpestes_urva",0
"Herpestes_brachyurus",0
"Herpestes_fuscus",0
"Herpestes_javanicus",0
"Herpestes_auropunctatus",0
"Herpestes_edwardsii",0
"Herpestes_smithii",0
"Herpestes_vitticollis",0
"Herpestes_naso",0
"Atilax_paludinosus",0
"Herpestes_sanguineus",0
"Herpestes_ochraceus",0
"Herpestes_pulverulentus",0
"Herpestes_ichneumon",0
"Crocuta_crocuta",0
"Hyaena_hyaena",0
"Parahyaena_brunnea",0
"Proteles_cristata",0
"Paradoxurus_hermaphroditus",0
"Paradoxurus_zeylonensis",0
"Paradoxurus_jerdoni",0
"Paguma_larvata",0
"Arctictis_binturong",0
"Arctogalidia_trivirgata",0
"Diplogale_hosei",0
"Chrotogale_owstoni",0
"Hemigalus_derbyanus",0
"Macrogalidia_musschenbroekii",0
"Cynogale_bennettii",0
"Genetta_abyssinica",0
"Genetta_thierryi",0
"Genetta_cristata",0
"Genetta_servalina",0
"Genetta_piscivora",0
"Genetta_johnstoni",0
"Genetta_tigrina",0
"Genetta_angolensis",0
"Genetta_bourloni",0
"Genetta_poensis",0
"Genetta_pardina",0
"Genetta_maculata",0
"Genetta_genetta",0
"Genetta_victoriae",0
"Poiana_leightoni",0
"Poiana_richardsonii",0
"Viverricula_indica",0
"Civettictis_civetta",0
"Viverra_zibetha",0
"Viverra_civettina",0
"Viverra_megaspila",0
"Viverra_tangalunga",0
"Prionodon_pardicolor",0
"Prionodon_linsang",0
"Smilodon_populator",0
"Smilodon_fatalis",0
"Homotherium_latidens",0
"Homotherium_serum",0
"Herpailurus_yagouaroundi",0
"Miracinonyx_trumani",0
"Puma_concolor",0
"Acinonyx_jubatus",0
"Felis_margarita",0
"Felis_bieti",0
"Felis_silvestris",0
"Felis_nigripes",0
"Felis_chaus",0
"Otocolobus_manul",0
"Prionailurus_rubiginosus",0
"Prionailurus_planiceps",0
"Prionailurus_bengalensis",0
"Prionailurus_viverrinus",0
"Lynx_rufus",0
"Lynx_canadensis",0
"Lynx_lynx",0
"Lynx_pardinus",0
"Leopardus_jacobita",0
"Leopardus_amnicola",0
"Leopardus_wiedii",0
"Leopardus_pardalis",0
"Leopardus_guttulus",0
"Leopardus_tigrinus",0
"Leopardus_colocolo",0
"Leopardus_guigna",0
"Leopardus_geoffroyi",0
"Pardofelis_marmorata",0
"Catopuma_temminckii",0
"Catopuma_badia",0
"Leptailurus_serval",0
"Caracal_caracal",0
"Caracal_aurata",0
"Neofelis_diardi",0
"Neofelis_nebulosa",0
"Panthera_pardus",0
"Panthera_onca",0
"Panthera_atrox",0
"Panthera_spelaea",0
"Panthera_leo",0
"Panthera_uncia",0
"Panthera_tigris",0
"Nandinia_binotata",0
"Canis_adustus",0
"Canis_mesomelas",0
"Lycaon_pictus",0
"Cuon_alpinus",0
