"Binomial.1.2","Condition_Met"
"Apodemus_gurkha",0
"Apodemus_hyrcanicus",0
"Apodemus_latronum",0
"Apodemus_mystacinus",0
"Apodemus_pallipes",0
"Apodemus_peninsulae",0
"Apodemus_ponticus",0
"Apodemus_rusiges",0
"Apodemus_semotus",0
"Apodemus_speciosus",0
"Apodemus_sylvaticus",0
"Apodemus_uralensis",0
"Apodemus_witherbyi",0
"Apomys_abrae",0
"Apomys_camiguinensis",0
"Apomys_datae",0
"Apomys_gracilirostris",0
"Apomys_hylocetes",0
"Apomys_insignis",0
"Apomys_littoralis",0
"Apomys_microdon",0
"Apomys_musculus",0
"Apomys_sacobianus",0
"Arabitragus_jayakari",1
"Arborimus_albipes",0
"Arborimus_longicaudus",0
"Arborimus_pomo",0
"Archaeoindris_fontoynonti",1
"Archaeolemur_edwardsi",0
"Archaeolemur_majori",0
"Archboldomys_luzonensis",0
"Arctictis_binturong",0
"Arctocebus_aureus",0
"Arctocebus_calabarensis",0
"Arctocephalus_australis",0
"Arctocephalus_forsteri",0
"Arctocephalus_galapagoensis",0
"Arctocephalus_gazella",0
"Arctocephalus_philippii",0
"Arctocephalus_pusillus",0
"Arctocephalus_townsendi",0
"Arctocephalus_tropicalis",0
"Arctodus_simus",0
"Arctogalidia_trivirgata",0
"Arctonyx_albogularis",0
"Arctonyx_collaris",0
"Arctonyx_hoevenii",0
"Arctotherium_tarijense",0
"Arctotherium_wingei",0
"Arvicanthis_abyssinicus",0
"Arvicanthis_ansorgei",0
"Arvicanthis_blicki",0
"Arvicanthis_nairobae",0
"Arvicanthis_neumanni",0
"Arvicanthis_niloticus",0
"Arvicanthis_rufinus",0
"Arvicola_amphibius",0
"Arvicola_sapidus",0
"Arvicola_scherman",0
"Atelerix_albiventris",0
"Atelerix_algirus",0
"Atelerix_frontalis",0
"Atelerix_sclateri",0
"Ateles_belzebuth",0
"Ateles_chamek",0
"Ateles_fusciceps",0
"Ateles_geoffroyi",0
"Ateles_hybridus",0
"Ateles_marginatus",0
"Ateles_paniscus",0
"Atelocynus_microtis",0
"Atherurus_africanus",0
"Atherurus_macrourus",0
"Atilax_paludinosus",0
"Atlantoxerus_getulus",0
"Auliscomys_boliviensis",0
"Auliscomys_pictus",0
"Auliscomys_sublimis",0
"Avahi_betsileo",0
"Avahi_cleesei",0
"Avahi_laniger",0
"Avahi_meridionalis",0
"Avahi_mooreorum",0
"Avahi_occidentalis",0
"Avahi_peyrierasi",0
"Avahi_ramanantsoavanai",0
"Avahi_unicolor",0
"Axis_axis",1
"Axis_calamianensis",1
"Axis_kuhlii",1
"Axis_porcinus",1
"Aztlanolagus_agilis",0
"Babakotia_radofilai",1
"Babyrousa_babyrussa",1
"Babyrousa_celebensis",0
"Babyrousa_togeanensis",0
"Baiomys_musculus",0
"Baiomys_taylori",0
"Baiyankamys_habbema",0
"Baiyankamys_shawmayeri",0
"Bandicota_bengalensis",0
"Bandicota_indica",0
"Bandicota_savilei",0
"Bassaricyon_alleni",0
"Bassaricyon_gabbii",0
"Bassaricyon_medius",0
"Bassaricyon_neblina",0
"Bassariscus_astutus",0
"Bassariscus_sumichrasti",0
"Bathyergus_janetta",0
"Bathyergus_suillus",0
"Batomys_dentatus",0
"Batomys_granti",0
"Batomys_russatus",0
"Batomys_salomonseni",0
"Bdeogale_crassicauda",0
"Bdeogale_jacksoni",0
"Bdeogale_nigripes",0
"Bdeogale_omnivora",0
"Beamys_hindei",0
"Beatragus_hunteri",1
"Belomys_pearsonii",0
"Berylmys_berdmorei",0
"Berylmys_bowersi",0
"Berylmys_mackenziei",0
"Berylmys_manipulus",0
"Bettongia_anhydra",0
"Bettongia_gaimardi",0
"Bettongia_lesueur",0
"Bettongia_penicillata",0
"Bettongia_pusilla",0
"Bettongia_tropica",0
"Bibimys_chacoensis",0
"Bibimys_labiosus",0
"Bibimys_torresi",0
"Bison_bison",1
"Bison_bonasus",1
"Biswamoyopterus_biswasi",0
"Blanfordimys_afghanus",0
"Blanfordimys_bucharensis",0
"Blarina_brevicauda",0
"Blarina_carolinensis",0
