"","time","transition","N_sim","trans_no","edge.length"
"123",5.38221335090335,"no_armature->armature",22,1,11
"124",5.40607924534359,"no_armature->armature",74,1,11
"125",5.44359348943221,"no_armature->armature",62,1,11
"126",5.45849879560051,"no_armature->armature",99,1,11
"127",5.48423043787317,"no_armature->armature",19,2,11
"128",5.4978320158829,"no_armature->armature",64,1,11
"129",5.51428159808642,"armature->no_armature",52,1,11
"130",5.5211022675251,"armature->no_armature",94,1,11
"131",5.52919100155403,"armature->no_armature",88,3,11
"132",5.54906615602263,"no_armature->armature",16,1,11
"133",5.55078151833279,"no_armature->armature",25,1,11
"134",5.56835050331384,"no_armature->armature",1,2,11
"135",5.57575963782523,"armature->no_armature",67,1,11
"136",5.58264746717074,"no_armature->armature",69,1,11
"137",5.5985064153654,"no_armature->armature",90,1,11
"138",5.86697888095424,"no_armature->armature",80,1,12
"139",5.99253916887818,"armature->no_armature",11,3,12
"140",6.1390174335489,"armature->no_armature",9,1,12
"141",6.19440207825458,"armature->no_armature",46,1,12
"142",6.27792625954928,"armature->no_armature",78,1,12
"143",6.30710578165309,"armature->no_armature",23,1,12
"144",6.38428418195003,"armature->no_armature",51,2,12
"145",6.39211609509883,"no_armature->armature",84,1,12
"146",6.64304842079591,"no_armature->armature",26,1,12
"147",6.67781570330425,"armature->no_armature",40,1,12
"148",6.69090592820264,"armature->no_armature",55,1,12
"149",6.77027961648465,"armature->no_armature",41,4,12
"150",6.77795215243179,"armature->no_armature",83,2,12
"151",6.80989232406854,"armature->no_armature",11,4,12
"152",6.90564808447565,"armature->no_armature",89,2,12
"153",6.91225873081866,"armature->no_armature",82,2,12
"154",6.92837789386813,"armature->no_armature",38,2,12
"155",6.98521453232895,"no_armature->armature",80,2,12
"156",7.0888537976815,"armature->no_armature",83,3,12
"157",7.27664571314165,"armature->no_armature",1,1,14
"158",7.39171385808977,"armature->no_armature",54,1,14
"159",7.41097453473261,"armature->no_armature",81,3,14
"160",7.43834641812927,"armature->no_armature",19,1,14
"161",7.45887045347582,"armature->no_armature",19,2,14
"162",7.46037250552657,"armature->no_armature",5,1,14
"163",7.46773710503399,"armature->no_armature",35,1,14
"164",7.48051039642718,"no_armature->armature",33,2,14
"165",7.49575329372411,"armature->no_armature",22,1,14
"166",7.53475254401479,"armature->no_armature",29,5,14
"167",7.5348868656648,"armature->no_armature",70,4,14
"168",7.55767536773524,"no_armature->armature",75,2,14
"169",7.66650351097128,"armature->no_armature",82,3,14
"170",7.66795751628411,"armature->no_armature",95,3,14
"171",7.73953801254146,"armature->no_armature",37,2,14
"172",7.77049999177254,"armature->no_armature",96,2,14
"173",7.83368872982878,"no_armature->armature",71,3,14
"174",7.87876942768407,"armature->no_armature",34,2,15
"175",7.8826120931102,"armature->no_armature",33,1,15
"176",7.9678491574617,"no_armature->armature",26,2,15
