"","Taxon","Maximum.vertical.height..meter.","Habit..growth.from.","Extra.floral.nectaries","Leaf.shape","Whole.leaf.length..cm.","Whole.leaf.width..cm.","Rachis.length..mm.","Petiole.length..mm.","Stipules.length..mm.","Stipules.width..mm.","Stipules.phenology","Pairs.of.pinnae","Length.of.pinnae..mm.","Pinnular.rachis.length..cm.","Pair.of.leaflets","Length.of..leaflets..mm.","Width.of..leaflets..mm.","Length.of.basal.primary.leaflets..mm.","Length.of.basal.primary.leaflets..mm..1","Length.of.middle.leaflet..mm.","Width.of.middle.leaflet..mm.","Length.of.largest.leaflet..mm.","Width.of.largest.leaflet..mm.","Length.of.other.primary.leaflets..mm.","Phyllodes","Width.of.other.primary.leaflets..mm.","Phyllode.length..mm.","Phyllode.width..mm.","Fruit.length..cm.","Fruit.width..mm.","Fruit.color","Pod.shape","Pod.margin","Texture.of.pod.valves","Pod.cross.section","Pod.coil","Number.of.coils","Pod.ornamentation","Number.of.pods.per.capitulum","Dehiscence","Type.of.dehiscence","Dispersal.syndrome","Seed.length..cm.","Seed.width..cm.","Seed.accessories","Seed.color","Number.of.seeds.per.fruit","Presence.of.aril","Aril..color.","Presence.of.pulp","Color.pulp","Succulence","Length.of.extrafloral.nectaries..mm.","Width.of.extrafloral.nectaries..mm.","Diameter.of.extra.floral.nectaries..mm.","Presence.of.succulence","Nodulation","Presence.of.tendrils","Habitat.description","Fruit.type","Fruit.shape","Number.of.primary.leaflets","Stipe.length..mm.","Color.contrast","Number.of.fruits.per.inflorescence","Color.of.elaiosome","Presence.of.elaiosome","Seed.diameter..cm.","Fruit.thickness..mm.","Fruit.diameter.mm.","leaf.length.min","leaf.length.max","leaf.length.mean","rachis.length.min","rachis.length.max","rachis.length.mean","pinnae.pair.min","Vertical.height.mean","pinnae.pair.mean","pinnae.length.min","pinnae.length.max","pinnae.length.mean","leaflet.pair.min","leaflet.pair.max","leaflet.pair.mean","leaflet.length.min","leaflet.length.max","leaflet.length.mean","leaflet.width.min","leaflet.width.max","leaflet.width.mean","fruit.length.min","fruit.length.max","fruit.length.mean","fruit.width.min","fruit.width.max","fruit.width.mean","seed.length.min","seed.length.max","seed.length.mean","vertical.height.min","vertical.height.max","vertival.height.mean","Armatures"
"1","Abarema cochliacarpos","30.0",1,0,5,"","","","","","",NA,"2.0-5.0","","","3.0-5.0","25.00-60.00","14.00-30.00","","","","","","","",NA,"","","","19.0","10.00",3,1,1,NA,2,0,"",3,"1.0-2.0",NA,3,1,"0.7","0.60","",NA,"8.0-12.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,2,5,3.5,NA,NA,NA,3,5,4,25,60,42.5,14,30,22,19,19,19,10,10,10,0.7,0.7,0.7,30,30,30,0
"2","Abarema diamantina","1.0-2.5",1,0,NA,"","","13.00-70.00","5.00-25.00","","",1,"1.0-4.0","","","2.0-4.0","27.00-37.00","19.00-23.00","","","","","","","",NA,"","","","17.0-25.0","8.00-14.00",3,1,0,NA,NA,0,"",3,"",1,2,1,"0.7-0.8","0.80-1.40","",1,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,13,70,41.5,1,4,2.5,NA,NA,NA,2,4,3,27,37,32,19,23,21,17,25,21,8,14,11,0.7,0.8,0.75,1,2.5,1.75,0
"3","Acacia abbatiana","4.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","70.00-150.00","1.60-3.00","3.5","2.50",3,2,NA,NA,NA,1,"",NA,"",NA,NA,NA,"0.2-0.3","0.13-0.14","",NA,"",1,NA,"","",3,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,3.5,2.5,2.5,2.5,0.2,0.3,0.25,4,4,4,0
"4","Acacia abbreviata","0.3-0.6",1,0,NA,"","","","","1.00-1.50","",2,"","","","","","","","","","","","","",0,"","4.50-10.00","0.80-1.20","2.5-6.5","3.00-5.00",3,6,2,3,1,1,"",NA,"",1,1,NA,"0.4","0.10","",3,"",1,NA,"","",3,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","(1)","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,6.5,4.5,3,5,4,0.4,0.4,0.4,0.3,0.6,0.45,0
"5","Acacia abrupta","2.0",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","3.00-5.00","0.50-1.00","5.0","2.50-3.00",NA,1,3,NA,NA,1,"",NA,"",NA,NA,NA,"0.4","","",NA,"",1,NA,"","",3,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,2.5,3,2.75,0.4,0.4,0.4,2,2,2,0
"6","Acacia acanthaster","0.2-0.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","3.00-8.00","0.50-1.00","3.5","2.00",3,1,4,NA,NA,0,"",3,"",NA,NA,NA,"0.2","","",NA,"",1,2,"","",3,"","","","#Name?",0,"#Name?",0,"(0)","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,3.5,2,2,2,0.2,0.2,0.2,0.2,0.5,0.35,1
"7","Acacia acanthoclada","0.3-2.0",1,0,NA,"","","","","","",0,"","","","","","","","","","","","","",0,"","3.00-10.00","0.60-4.00","1.0-2.0","2.00-3.00",3,1,NA,2,NA,0,"",3,"",NA,NA,NA,"0.2-0.4","","",3,"",1,NA,"","",3,"","","","#Name?",0,"#Name?",0,"(0)","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1.5,2,3,2.5,0.2,0.4,0.3,0.3,2,1.15,1
"8","Acacia accola","",NA,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"9","Acacia acellerata","0.3-0.6",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","25.00-47.00","","5.0","2.00-2.50",NA,6,NA,5,NA,NA,"",NA,"",NA,NA,NA,"0.3","","",3,"",1,4,"","",3,"","","","#Name?",0,"#Name?",0,"(0)","(2)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,2,2.5,2.25,0.3,0.3,0.3,0.3,0.6,0.45,0
"10","Acacia acinacea","2.5",1,0,NA,"","","","","","",NA,"","","","","","","","","","","","","",0,"","4.00-15.00","2.00-8.00","","3.00-4.50",NA,1,NA,5,NA,0,"",3,"",NA,NA,NA,"0.4-0.5","","",3,"",1,NA,"","",3,"","","","#Name?",0,"#Name?",0,"(0)","(5)","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4.5,3.75,0.4,0.5,0.45,2.5,2.5,2.5,0
